北京悠贝成长科技有限公司,5945751,数据分析,本科,3-5年,12k-24k,北京,50-150人,不需要融资,晋升空间大，培训完善，公司逗比多,1天前发布
深圳乐信软件技术有限公司,5827915,数据分析师 （桔子理财） (MJ000539),本科,不限,15k-30k,深圳,2000人以上,上市公司,上市公司 五险一金 发展空间 团队激励,1天前发布
百融云创科技股份有限公司,5002454,数据分析师,本科,应届毕业生,10k-20k,北京,500-2000人,C轮,"福利好,环境好,扁平化,领导是大牛",1天前发布
杭州观数信息科技有限公司,5355366,数据分析师,本科,1-3年,15k-30k,深圳,50-150人,A轮,牛人团队 成长空间 期权激励 独当一面,1天前发布
北京印象笔记科技有限公司,5831968,数据分析师,本科,1-3年,10k-15k,北京,50-150人,A轮,"本地化,产品基调好,团队年轻,作战实力强",1天前发布
上海花千树信息科技有限公司北京分公司,5482652,数据分析,本科,1-3年,8k-15k,北京,500-2000人,上市公司,"成熟团队,上升空间",1天前发布
上海旖美信息技术有限公司,5900608,数据分析师,本科,3-5年,10k-15k,上海,150-500人,A轮,升职加薪，指日可待,1天前发布
深圳市立创电子商务有限公司,5389270,数据分析师（用户方向）,本科,3-5年,15k-20k,深圳,150-500人,A轮,周末双休，五险一金，下午茶，工作氛围好,1天前发布
深圳市一面网络技术有限公司,5523109,数据分析师（汽车行业）,本科,不限,8k-15k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
上海微盟企业发展有限公司,4384123,数据分析师（新零售）,本科,1-3年,8k-10k,上海,2000人以上,上市公司,"发展速度快,晋升空间大,团队给力",1天前发布
北京世纪好未来教育科技有限公司,5753844,数据分析师,本科,5-10年,20k-40k,北京,2000人以上,上市公司,上市公司,1天前发布
传神语联网网络科技股份有限公司,5915035,数据分析,本科,1年以下,4k-5k,武汉,500-2000人,上市公司,老板好 工作氛围佳 发展空间高,1天前发布
深圳市新国都股份有限公司,5919324,数据分析（风控方向）,本科,1-3年,7k-12k,深圳,2000人以上,上市公司,发展前景好，福利待遇好，晋升空间,1天前发布
北京万维之道信息技术有限公司,4858411,数据分析师,本科,1-3年,10k-20k,北京,150-500人,A轮,"六险一金,前景好,管理扁平",1天前发布
上海联元智能科技有限公司,5897831,数据分析师,本科,3-5年,15k-30k,上海,50-150人,A轮,五险一金 绩效奖金 弹性工作 补充公积金,1天前发布
上海宏路数据技术股份有限公司,5165983,数据分析师,本科,1-3年,8k-16k,上海,50-150人,上市公司,"六险一金,定期体检,员工旅游,地铁周边",1天前发布
深圳来电科技有限公司,5954567,数据分析师,本科,3-5年,14k-20k,深圳,500-2000人,A轮,"行业独角兽,全员期权,发展空间大",1天前发布
深圳市立创电子商务有限公司,5524909,数据分析师（商品方向）,本科,3-5年,15k-20k,深圳,150-500人,A轮,"五险一金,周末双休,水果下午茶,",1天前发布
深圳市一面网络技术有限公司,5523125,数据分析师（数据科学方向）,本科,1-3年,10k-20k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
