职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
高级java工程师,泰康之家（北京）投资有限公司,泰康之家,2000人以上,北京,朝阳区,5-10年,本科,20k-40k,不需要融资,六险两金 餐补交通补通讯补 防暑降温补
高级java开发工程师,武汉小象创意科技有限公司,芒果电单车,150-500人,北京,朝阳区,3-5年,本科,18k-30k,B轮,高档办公楼，免费下午茶，研磨咖啡
中级Java工程师,无讼网络科技（北京）有限公司,无讼网络科技,50-150人,北京,东城区,3-5年,本科,15k-25k,B轮,七险一金 免费三餐
java开发-集团应用二组,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,昌平区,3-5年,本科,15k-30k,不需要融资,世界500强 福利优厚 前景广阔
java软件开发工程师（AI研究院招聘）,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,3-5年,硕士,30k-60k,上市公司,"成长空间,大牛,大牛团队"
Java开发工程师（亦庄）,北京四达时代软件技术股份有限公司,四达时代集团,2000人以上,北京,大兴区,3-5年,本科,10k-20k,上市公司,薪资福利有竞争力，班车多，晋升空间大
高级Java开发工程师,智线云科技（北京）有限公司,ZingFront智线,50-150人,北京,朝阳区,3-5年,本科,15k-20k,A轮,"六险一金,产品优,开发环境好,发展空间大"
java开发工程师,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,昌平区,5-10年,本科,20k-40k,不需要融资,500强，七险二薪，班车食堂，年终奖丰厚
java高级开发工程师,深圳市小赢科技有限责任公司,小赢科技,500-2000人,北京,海淀区,5-10年,本科,20k-40k,上市公司,"架构,服务治理"
中级Java开发工程师,北京妙医佳信息技术有限公司,妙健康,150-500人,北京,朝阳区,3-5年,本科,15k-25k,C轮,六险一金 带薪年假 弹性工作 定期体检
高级java开发工程师,北京颐顺太和软件科技有限公司,新东方,2000人以上,北京,海淀区,5-10年,本科,18k-30k,上市公司,五险一金 加班补助 员工旅游 节日福利
资深java工程师,北京魔力耳朵科技有限公司,魔力耳朵,500-2000人,北京,朝阳区,5-10年,本科,35k-55k,B轮,"五险一金,年底双薪,高大上环境,弹性工作"
商城CMS-JAVA系统开发,联想（北京）有限公司,联想集团,2000人以上,北京,海淀区,5-10年,本科,15k-25k,上市公司,发展空间大
初中级Java开发工程师(J10013),思享时代（北京）科技有限公司,思享时代（北京）科技有限公司,150-500人,北京,朝阳区,1-3年,本科,8k-12k,不需要融资,"六险一金,水果下午茶,年度旅游,带薪年假"
高级java开发工程师,北京人民在线网络有限公司,人民在线,150-500人,北京,朝阳区,3-5年,本科,10k-20k,不需要融资,五险一金；补充医疗；带薪年假；大牛团队
高级Java开发工程师,北京万桥达观信息技术有限公司,everbridge,500-2000人,北京,东城区,5-10年,本科,20k-30k,上市公司,"上市外企,弹性工作制,六险一金,美国交流"
高级java开发工程师,云丁网络技术（北京）有限公司,云丁,500-2000人,北京,昌平区,3-5年,本科,20k-35k,D轮及以上,"五险一金,周末双休,弹性工作"
Java开发高级工程师,车音智能科技有限公司北京分公司,车音智能,150-500人,北京,东城区,5-10年,本科,20k-30k,上市公司,"带薪年假,绩效奖金,五薪一金"
高级Java研发工程师,深圳市爱贝信息技术有限公司,爱贝云计费,150-500人,北京,朝阳区,3-5年,本科,15k-30k,C轮,"公司发展,团队氛围,个人发展,薪资福利"
java开发工程师,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,昌平区,3-5年,本科,13k-26k,不需要融资,福利待遇，发展前景好
java高级开发工程师,北京颐顺太和软件科技有限公司,新东方,2000人以上,北京,海淀区,5-10年,本科,30k-55k,上市公司,五险一金 加班补助 员工旅游 节日福利
高级java工程师,北京魔力耳朵科技有限公司,魔力耳朵,500-2000人,北京,朝阳区,3-5年,本科,20k-25k,B轮,"年底双薪,带薪年假,弹性工作制,免费零食"
高级Java工程师,奥琦玮信息科技（北京）有限公司,奥琦玮,500-2000人,北京,朝阳区,5-10年,本科,20k-30k,C轮,公积金全额 临近地铁 牛叉的研发队伍
高级java开发工程师,震坤行工业超市（上海）有限公司,震坤行,500-2000人,北京,朝阳区,5-10年,本科,20k-35k,C轮,发展空间大
高级java开发工程师,北京妙医佳信息技术有限公司,妙健康,150-500人,北京,朝阳区,5-10年,本科,20k-30k,C轮,六险一金 带薪年假 弹性工作 定期体检
高级Java开发工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,,3-5年,本科,20k-40k,上市公司,公司平台大，六险一金
java开发经理,小小黛朵（北京）科技有限公司,花生米富,150-500人,北京,海淀区,5-10年,本科,30k-50k,B轮,"团队氛围佳,公司福利好,学习成长快"
高级Java开发工程师(J10002),思享时代（北京）科技有限公司,思享时代（北京）科技有限公司,150-500人,北京,朝阳区,3-5年,本科,20k-35k,不需要融资,"六险一金,水果下午茶,年度旅游,带薪年假"
java中级开发工程师,济南老猿信息技术有限公司,济南老猿信息技术有限...,50-150人,北京,海淀区,1-3年,本科,7k-12k,A轮,"五险一金,年底双薪,国家节假日,多次调薪"
Java中级工程师,厦门链平方科技有限公司,厦门链平方科技有限公司,50-150人,北京,朝阳区,3-5年,本科,11k-18k,A轮,五险一金、每年多次调薪、带薪年假
高级Java,北京智和信通技术有限公司,智和信通,50-150人,北京,朝阳区,5-10年,本科,25k-35k,不需要融资,自主研发 平台软件 非外包 氛围好
高级Java工程师,北京沃丰时代数据科技有限公司,Udesk－企业级智能客服平台,150-500人,北京,西城区,5-10年,本科,25k-35k,C轮,"技术强,数据量大,高并发,地铁周边"
